CUMULATIVE LATENT POWER,Power_latent,Power_web_sensible,Power_ink_sensible,Power_total
W,W,W,W,W
SOLVENT 1
0, 0, -300.299244889755, -90.4950731546784, -390.794318044433
50.2710071138728, 50.2710071138728, -213.212463871726, -63.9446657318951, -226.886122489748
100.542014227746, 100.542014227746, -135.13466020039, -40.3338356137829, -74.9264815864269
150.813021341617, 150.813021341617, -66.0658338757461, -19.6236880697595, 65.1234993961109
221.192431301038, 221.192431301038, -4.80478791823597, -1.41749684788605, 214.970146534916
291.571841260459, 291.571841260459, 48.6484776721402, 14.2541408637793, 354.474459796378
372.005452642654, 372.005452642654, 96.0957583647216, 27.9350598315111, 496.036270838887
452.43906402485, 452.43906402485, 136.936455669728, 39.4921536439832, 628.867673338561
537.899776118431, 537.899776118431, 172.972365056499, 49.4616509868229, 760.333792161753
629.393009065679, 629.393009065679, 204.203486525033, 57.8573810975706, 891.453876688283
724.907922582035, 724.907922582035, 231.831017054891, 65.0512467467802, 1021.79018638371
823.439096525225, 823.439096525225, 255.254358156291, 70.9037973604041, 1149.59725204192
925.991951037524, 925.991951037524, 275.674706808795, 75.7667795952812, 1277.4334374416
1030.55564583438, 1030.55564583438, 293.0920630124, 79.676460626861, 1403.32416947364
1137.13018091579, 1137.13018091579, 308.107025256888, 82.818238670919, 1528.05544484359
1245.71555628175, 1245.71555628175, 321.320192032038, 85.3710813477741, 1652.40682966156
1356.31177193227, 1356.31177193227, 332.130964848069, 87.1918387623369, 1775.63457554267
1468.91882786734, 1468.91882786734, 341.740540684541, 88.6129312119834, 1899.27229976387
1582.53130394469, 1582.53130394469, 350.148919541454, 89.6543938046004, 2022.33461729075
1696.14378002204, 1696.14378002204, 357.356101418808, 90.337506279453, 2143.83738772031
1811.76709638395, 1811.76709638395, 363.362086316603, 90.6530721935769, 2265.78225489413
1928.39583288813, 1928.39583288813, 368.767472724619, 90.7704132741068, 2387.93371888686
2045.02456939232, 2045.02456939232, 372.971662153075, 90.5600014249303, 2508.55623297032
2162.65872603878, 2162.65872603878, 377.175851581532, 90.3106602720778, 2630.14523789239
2280.29288268524, 2280.29288268524, 380.178844030429, 89.7494352395964, 2750.22116195526
2398.93245947398, 2398.93245947398, 383.181836479327, 89.1569561302739, 2871.27125208358
2517.57203626271, 2517.57203626271, 385.584230438445, 88.4063742627713, 2991.56264096393
2636.21161305145, 2636.21161305145, 387.986624397563, 87.6394738949711, 3111.83771134399
2755.85660998247, 2755.85660998247, 389.788419866901, 86.711411050185, 3232.35644089955
2875.50160691348, 2875.50160691348, 391.59021533624, 85.7710056108942, 3352.86282786062
2995.1466038445, 2995.1466038445, 393.392010805579, 84.8182575770985, 3473.35687222718
3114.79160077551, 3114.79160077551, 394.593207785138, 83.7257305248638, 3593.11053908551
3234.43659770653, 3234.43659770653, 395.794404764697, 82.6249750762925, 3712.85597754752
3354.08159463754, 3354.08159463754, 396.995601744256, 81.5159912313848, 3832.59318761318
3473.72659156856, 3473.72659156856, 397.596200234035, 80.2775138634586, 3951.60030566605
3594.37700864185, 3594.37700864185, 398.797397213594, 79.1426520578034, 4072.31705791325
3714.02200557287, 3714.02200557287, 399.397995703374, 77.8938719079096, 4191.31387318415
3833.66700250388, 3833.66700250388, 400.599192682933, 76.7560541027303, 4311.02224928955
3954.31741957718, 3954.31741957718, 401.199791172712, 75.4854410440696, 4431.00265179396
4073.96241650819, 4073.96241650819, 401.800389662492, 74.2222439140401, 4549.98505008472
4193.60741343921, 4193.60741343921, 402.400988152271, 72.9549325858422, 4668.96333417732
4313.25241037022, 4313.25241037022, 403.60218513183, 71.7903379194753, 4788.64493342153
4432.89740730124, 4432.89740730124, 404.20278362161, 70.5127410958568, 4907.61293201871
4552.54240423225, 4552.54240423225, 404.803382111389, 69.23103007407, 5026.57681641771
4673.19282130555, 4673.19282130555, 405.403980601169, 67.9335364349404, 5146.53033834166
4791.83239809429, 4791.83239809429, 406.004579090948, 66.6552654359918, 5264.49224262123
4911.4773950253, 4911.4773950253, 407.205776070507, 65.4577571842789, 5384.14092828009
5031.12239195632, 5031.12239195632, 407.806374560287, 64.157532270735, 5503.08629878734
5150.76738888733, 5150.76738888733, 408.406973050066, 62.8531931590228, 5622.02755509642
5269.40696567607, 5269.40696567607, 409.608170029625, 61.6469033414718, 5740.66203904717
5389.05196260708, 5389.05196260708, 410.208768519405, 60.3322960208859, 5859.59302714738
5507.69153939582, 5507.69153939582, 411.409965498964, 59.1116929424806, 5978.21319783727
5626.33111618456, 5626.33111618456, 412.611162478523, 57.8829306139265, 6096.82520927701
5744.9706929733, 5744.9706929733, 413.211760968302, 56.5637942180461, 6214.74624815965
5863.61026976204, 5863.61026976204, 414.412957947861, 55.3207532017316, 6333.34398091163
5982.24984655078, 5982.24984655078, 415.614154927421, 54.0695529352682, 6451.93355441346
6100.88942333951, 6100.88942333951, 416.81535190698, 52.8101934186561, 6570.51496866515
6218.52357998597, 6218.52357998597, 418.016548886538, 51.5547060885552, 6688.09483496107
6336.15773663243, 6336.15773663243, 419.217745866098, 50.2911286544933, 6805.66661115302
6453.79189327889, 6453.79189327889, 421.019541335436, 49.0894889180651, 6923.9009235324
6571.42604992536, 6571.42604992536, 422.821336804774, 47.8757140256954, 7042.12310075583
6688.05478642954, 6688.05478642954, 424.022533784334, 46.5960255298989, 7158.67334574377
6804.68352293372, 6804.68352293372, 425.824329253672, 45.372310873047, 7275.88016306044
6921.31225943791, 6921.31225943791, 427.62612472301, 44.136564779535, 7393.07494894045
